time,bpFront,bpBack,rawAccelX,rawAccelY,rawAccelZ,noGravAccelX,noGravAccelY,noGravAccelZ,worldAccelY,worldAccelX,worldAccelZ,yaw,pitch,roll,gravityX,gravityY,gravityZ,quaternionX,quaternionY,quaternionZ,quaternionW
5601,160,164,62,464,16350,53,224,8161,45,-12,8163,-0.058599878,0.000980335,0.029282149,0.00098031,0.029277205,0.999545395,0.014648438,-6.10352E-05,0.029296875,0.999450684
5701,175,104,72,452,16440,62,212,8251,54,-26,8253,-0.058601663,0.001102342,0.029278575,0.001102313,0.029273629,0.999545395,0.014648438,-0.00012207,0.029296875,0.999450684
5801,163,141,60,444,16324,50,204,8135,42,-31,8137,-0.058723461,0.001104126,0.029278455,0.001104102,0.029273614,0.999548972,0.014648438,-0.00012207,0.02935791,0.999450684
5901,219,149,60,488,16364,49,248,8175,38,10,8178,-0.058725249,0.001226132,0.029274873,0.001226105,0.029270031,0.999548912,0.014648438,-0.000183105,0.02935791,0.999450684
6001,164,130,52,342,16418,41,102,8229,39,-136,8228,-0.058725249,0.001226132,0.029274873,0.001226105,0.029270031,0.999548912,0.014648438,-0.000183105,0.02935791,0.999450684
6101,227,129,56,448,16210,44,209,8021,34,-22,8023,-0.058727212,0.001344556,0.029149285,0.001344524,0.029144444,0.9995507,0.014587402,-0.000244141,0.02935791,0.999450684
6201,213,133,22,426,16358,10,187,8169,2,-51,8170,-0.058727212,0.001344556,0.029149285,0.001344524,0.029144444,0.9995507,0.014587402,-0.000244141,0.02935791,0.999450684
6301,192,133,-100,538,16406,-112,299,8217,-127,52,8221,-0.058728989,0.001466563,0.029145705,0.001466528,0.02914086,0.999550641,0.014587402,-0.000305176,0.02935791,0.999450684
6401,173,170,126,500,16480,112,261,8291,97,25,8295,-0.05873077,0.001588569,0.029142123,0.001588531,0.029137276,0.999550641,0.014587402,-0.000366211,0.02935791,0.999450684
6501,173,143,42,556,16366,28,317,8177,10,79,8182,-0.05873077,0.001588569,0.029142123,0.001588531,0.029137276,0.999550641,0.014587402,-0.000366211,0.02935791,0.999450684
6601,170,99,-8,526,16402,-20,288,8213,-35,47,8217,-0.058730934,0.001584988,0.029020116,0.001584947,0.029015273,0.999552429,0.014526367,-0.000366211,0.02935791,0.999450684
6701,156,140,-6,430,16462,-18,192,8273,-28,-49,8274,-0.058730934,0.001584988,0.029020116,0.001584947,0.029015273,0.999552429,0.014526367,-0.000366211,0.02935791,0.999450684
6801,160,67,-6,510,16360,-20,271,8171,-35,30,8175,-0.058732547,0.001710575,0.029138543,0.001710534,0.029133692,0.999550581,0.014587402,-0.000427246,0.02935791,0.999450684
6901,194,159,-4,456,16340,-16,218,8151,-27,-20,8153,-0.058852732,0.001586756,0.029019967,0.00158672,0.029015228,0.999556005,0.014526367,-0.000366211,0.029418945,0.999450684
7001,190,162,-78,520,16366,-91,282,8177,-107,38,8181,-0.058854502,0.001708761,0.029016379,0.001708724,0.029011637,0.999555945,0.014526367,-0.000427246,0.029418945,0.999450684
7101,187,116,46,498,16314,32,260,8125,16,25,8128,-0.058854502,0.001708761,0.029016379,0.001708724,0.029011637,0.999555945,0.014526367,-0.000427246,0.029418945,0.999450684
7201,175,139,104,530,16444,90,292,8255,72,56,8259,-0.058854502,0.001708761,0.029016379,0.001708724,0.029011637,0.999555945,0.014526367,-0.000427246,0.029418945,0.999450684
7301,213,192,50,534,16406,35,295,8217,17,56,8221,-0.058854345,0.00171235,0.029138386,0.001712315,0.02913364,0.999554157,0.014587402,-0.000427246,0.029418945,0.999450684
7401,172,119,18,400,16430,3,161,8241,-6,-79,8242,-0.05897614,0.001714124,0.029138228,0.001714095,0.029133588,0.999557793,0.014587402,-0.000427246,0.02947998,0.999450684
7501,149,81,8,552,16356,-6,314,8167,-24,75,8172,-0.0589763,0.001710529,0.029016221,0.001710497,0.029011585,0.999559581,0.014526367,-0.000427246,0.02947998,0.999450684
7601,152,103,20,412,16416,5,174,8227,-5,-65,8228,-0.0589763,0.001710529,0.029016221,0.001710497,0.029011585,0.999559581,0.014526367,-0.000427246,0.02947998,0.999450684
7701,191,121,108,514,16396,92,275,8207,74,40,8211,-0.058977917,0.00183613,0.029134633,0.001836099,0.029129989,0.999557734,0.014587402,-0.000488281,0.02947998,0.999450684
7801,182,108,16,512,16398,0,274,8209,-17,34,8213,-0.05897807,0.001832534,0.029012626,0.0018325,0.029007986,0.999559522,0.014526367,-0.000488281,0.02947998,0.999450684
